id,text,mes_date,views,mes_title,mes_description
35,"Компания SoftTtchSolutions находится в поиске программиста C# с релокацией в Ташкент,Узбекистан

ЗП от 2000$ до 5000$

Задачи, стоящие перед успешным кандидатом:
• Разработка и поддержка корпоративных многопользовательских клиент-серверных приложений на основании технических заданий;
• Планирование циклов разработки - от проектирования новой архитектуры до рефакторинга существующего кода;
• Управление группами разработчиков (5-6 человек): актуализация и формализация задач, планирование, постановка/распределение задач, контроль за сроками и ходом выполнения, возможно — подбор новых разработчиков;
• Ведение технической документации проектов.

Профиль успешного кандидата:
• Опыт работы от 5 лет;
• Опыт разработки информационных систем, веб-приложений с использованием C#, ASP.Net Web API, MVC;
• Аналитический склад ума, умение работать с большим объемом информации;
• Умение работать в режиме многозадачности;
• Стрессоустойчивость, ответственность, пунктуальность, исполнительность;
Условия компании:
• Конкурентная заработная плата;
• Работа с одним из крупнейших холдингов Узбекистана;
• Компенсация на релокацию (перелет + жилье);

Контакты:
+99890 9837588 (тг)
cv@davinci.uz",2020-11-23 12:45:10+00:00,314.0,None,None
34,"⚡️Вакансия: Backend разработчик 
г. Алматы
📍Компания: Первое кредитное бюро

📎 Требования:
 ⁃ Знание GoLang и/или Java и/или Python;
 ⁃ Знание в SOAP/REST
 ⁃ Знание и опыт работы с NoSQL;
 ⁃ Знание и опыт работы с Oracle, MsSQL;
 ⁃ Опыт работы с Docker

📎 Обязанности:
 ⁃ Разработка программного обеспечения;
 ⁃ Поддержке существующих сервисов компании

👉🏻 Контакты: @ITrecruiterkz",2020-11-20 09:29:08+00:00,471.0,None,None
33,"⚡️Вакансия:  Аналитик данных (Qlik)
г. Алматы

📍Компания: Первое кредитное бюро

💵 Вилка: 300 000-500 000 тг

📎 Требования:
 ⁃ Опыт работы от 1 года на аналогичной позиции
 ⁃ Опыт работы с Big Data
 ⁃ Знание SQL
 ⁃ Уверенный пользователь инструмента Qlik/ MS Power BI/ Tableau
 ⁃ Понимание работы финансового сектора РК
 ⁃ Знание финансового анализа, бизнес-анализа 

📎 Обязанности:
 ⁃ Разработка и создание аналитических отчётов, презентаций;
 ⁃ Анализ источников данных;
 ⁃ Реализация проектов в BI системе Qlik;
 ⁃ Разработка дизайна и функционала приложения, дэшюордов.

👉🏻 Контакты: @ITrecruiterkz",2020-11-17 05:19:14+00:00,614.0,None,None
32,"Главный специалист, Инфраструктура и сервисы, ИТ Департамент
АО «Исламский Банк «Al Hilal» 
Город Алматы
З/п: 200,000 

Обязанности
•Регистрация и первичный анализ запросов пользователей, разрешение проблемных ситуации в рамках своей компетенции;
•Эскалировать инциденты и запросы при невозможности самостоятельного решения проблем;
•Техническая и программная поддержка пользователей, консультация пользователей по вопросам работы с ИТ-оборудованием и ПО, составление инструкции по работе с программным обеспечением;
•Оперативная коммуникация с поставщиками информационных систем и услуг связи в рамках технической поддержки при возникновении проблем с работоспособностью ИТ-инфраструктуры;
•Инсталляция и настройка принтеров, сканеров, IP телефонов;
•Контроль ремонта оборудования и расходных материалов, установка ПО;
•Участие в монтаже, настройке, вводе в эксплуатацию серверного оборудования, компьютерной и оргтехники;

Требования
•Степень бакалавра компьютерных наук или эквивалент
•Опыт работы не менее 1 года.
•Хорошие знания и навыки по установке и настройке офисного ПО (Microsoft Windows 10, MS Office и т.п.)
•Навыки администрирования серверных операционных систем семейства Windows и Linux дают преимущества;
•Базовые знания сетевых протоколов (TCP / IP, HTTPS, SSL);
•Знакомство с виртуализацией (VmWare, ESX, Hyper-V);
•Навыки ведения и работы с технической документацией;
•Хорошие коммуникативные навыки.
•Уровень владения английским языком: не ниже Intermediate

Дополнительные навыки:
•Самомотивация, умение работать в команде
•Желание изучать новые технологии
•Навыки устранения неполадок, аналитические способности

Требуемый уровень кандидата: Средний уровень

Профессиональные навыки
HTTP
Linux OS
VMware
TCP/IP
Личные навыки
Решение проблем
Аналитические навыки
Способность работать в команде

Условия:
- офис в Бизнес центре Есентай
- медицинская страховка 
- отпуск 22 рабочих дня

Резюме направлять на hr@alhilalbank.kz с указанием вакансии в тебе письма",2020-11-13 07:06:11+00:00,687.0,None,None
31,"#алматы #Businessanalyst
👤Бизнес аналитик
🏨 Компания: Prime Source
🍎 Город: Алматы
💵 ЗП: Middle от 300к
🕰 График работы: full time                                                                                                                                                                                                                                              
        
Требования:
•  Иметь высшее техническое/математическое образование;
•  Опыт работы бизнес-аналитиком от 3 лет;
•  Опыт использования инструментов моделирования бизнес-процессов;
•  Знание основ системного анализа;
•  Знание цикла разработки ПО;
•  Знание SQL(минимум написание простых запросов);
•  Опыт проектной деятельности (работа с приоритетами и планированием), (второстепенное);
•  Умение оценки и контроля сроков реализации (второстепенное);
•  Приветствуется опыт работы с draw.io, Microsoft Visio, Figma;
•  Уровень английского не ниже Intermediate;
•  Опыт работы в банках будет плюсом.

Задачи:
•  Выявление ошибок работы системы, проведение анализа причины возникновения ошибки, детализированное описание ошибки;
•  Выявление и анализ потребности заказчика;
•  Разработка концепции решения;
Оформление концепции в техническое задание с конкретными требованиями к будущему функционалу;
•  Детализирование каждого требования в виде спецификации (user-story)
•  Консультация программистов и тестировщиков во время разработки;
•  Описание сценариев использования;
•  Обучение бизнес- пользователей работы с системой, написание инструкций.

Условия:
•  Современный офис в верхней части города с потрясающим видом на горы;
•  Приятности в виде сладких завтраков и игровой комнаты.

✍️ CV ➡️  @aigul_urpekova или cv@p-s.kz",2020-11-12 06:20:44+00:00,562.0,None,None
30,"📱Mobile QA
🏨 Компания: Prime Source
🍎 Город: Алматы
💵 ЗП: Middle от 200к
🕰 График работы: full time                                                                                                                                                                                                                                              

Требования:
✔️ Опыт :
- тестирования клиент-серверных приложений минимум 1 год
- с СУБД и базовые знания SQL.
✔️Знания:
- теории тестировании;
- особенностей тестирования мобильных приложений;
- методологий разработки программного обеспечения.
✔️ Навыки программирования на одном из ОО яп: java, python, groovy, php.

Задачи:
✔️ Рецензирование спецификаций и технических заданий.
✔️ Разработка и актуализация тестовой документации: планов тестирования, тестовых вариантов, чек-листов, и др.
✔️Тестирование программных продуктов.
✔️ Разработка автоматизированных тестов, а также выполнение ручных
✔️ Участие во всех этапах разработки продуктов с целью повышения их качества.

Условия:
✔️ Дружный и большой коллектив единомышленников;
✔️ Работа над полезными международными и местными проектами;
✔️ Возможность влиять на процессы внутри компании и привносить новые идеи

✍️ CV ➡️ @zhibek_k или cv@p-s.kz

#tester
#qa
#fulltime",2020-11-12 06:20:09+00:00,473.0,None,None
29,,2020-11-12 06:02:05+00:00,,None,None
28,"Для бесплатного размещения вакансий, прошу писать @ITrecruiterkz

📎 Описание вакансии должно выглядеть следующим образом:

Вакансия: наименование позиции
Компания: наименование компании 
Локация: указать город
Зарплатная вилка: от ХХХ до YYY (суммы указывать в тенге)

Обязанности: 
- задачи, которыми будет заниматься соискатель 

Требования:
- навыки, необходимые для данной позиции 

Условия: 
- что предлагает ваша организация 

Контакты: данные ответственного за данную вакансию рекрутера, с помощью которых соискатель сможет связаться 

📎 Правила:
- публикуются вакансии связанные только с IT индустрией;
- минимальный объём текста - только основная информация;
- выделять заголовки жирным шрифтом.",2020-11-12 06:02:00+00:00,463.0,None,None
27,"ДБ АО ""Сбербанк"" (Сбер)

Набираю в команду крутых Test Automation Engineers в направления: 
1.Автоматизация регрессионного тестирования.
2. Нагрузочногое тестирование. 

Обязанности:
-Автоматизация функционионального тестирования продуктов банка. 
-Обеспечение качества выпускаемых банком релизов
-Проведение Нагрузочного тестирования систем банка с помощью инструмента.
-Разработка и актуализация скриптов и профилей нагрузки.
-Сбор и анализ отчётов тестирования.

Требования: 
-Знание Java, Groovy на базовом уровне
-Опыт тестирования Web/Desktop/ Mobile приложении
-Владение инструментом Apache JMeter
-Опыт автоматизации тестовых сценариев с помощью инструментов Selenide/ Selenium/ Katalon Studio/ Ranorex
-Опыт работы с Jenkins 

Условия:
-Открытое QA community  насчитывающее более 20 инженеров 
-Менторство, опыт ПАО банка
-Комфортный офис
-Лояльное руководство
-Возможность принять участие в крупнейшей digital/agile трансформации в Казахстане
-ЗП от 300К + премии (обсуждается индивидуально)

По всем вопросам:
+77073710642
Кайырлы Куанышпаев
Head of QA, Sberbank Kazakhstan",2020-11-05 07:28:22+00:00,760.0,None,None
26,"Middle/ Senior Android разработчик 

🏢 ALMANIT 
🍎 Алматы 
💸 Middle от 500 000тг. на руки
Senior от 700 000 тг. на руки
🕐 График: full time 

🧐Кто мы? 
ALMANIT -  динамично развивающаяся IT-компания в составе экосистемы Jysan ( Jysan Bank, Jysan Invest, Jysan Garant и т.д.)

Задачи: 
✔️Развитие и поддержка наших IT-продуктов; 
✔️Разработка нового функционала и доработка текущего;
✔️Интеграция с системами посредством API

Требования: 
✔️Знания Kotlin, Java;
✔️Архитектура MVP;
✔️Умение работать с LiveData, Retrofit; 
✔️Глубокое понимание Android Sdk, алгоритмы, верстка UI, Android Support Library;
✔️Многопоточное программирование.


Плюшки: 
✔️Гибкий график и возможность работать удаленно; 
✔️Развитие и обучение за наш счет; 
✔️Мед. страхование + возможность включить членов семьи;
✔️Новый офис с современной техникой в центре города;


СV 👉  @HRAlmanit 
+7 775 997 01 76 
📩hr@almanit.kz",2020-11-05 06:04:41+00:00,651.0,None,None
18,"⚡️Вакансия:  Backend - разработчик (node.js) г. Алматы

📍 Startup
Легкий и удобный сервис позволяющий сравнить бизнесы, оставить отзыв. Цель проекта - создать универсальное приложение для потребителя, которое поможет ему в досуге, сэкономит его время и деньги и впоследствии улучшит сервис в целом.

💵 Вилка: 200 000-400 000 тг

📎 Требования:
 ⁃ Опыт реальной работы от 1 года
 ⁃ Опыт работы с Node.js
 ⁃ Опыт работы с Typescript
 ⁃ Опыт работы с базами данных (PgSQL)
 ⁃ Знания английского на уровне чтения документации
 ⁃ Наличие портфолио со ссылками на выполненные проекты, примеры кода

📎 Обязанности:
 ⁃ Написание api, документации и сервисов
 ⁃ Написание тестов

📎 Условия:
 ⁃ Официальное трудоустройство, оформление по ТК РК
 ⁃ Режим работы с 10.00-11.00 до 18.00. Возможность гибкого графика: 1-2 дня в неделю можно работать удаленно
 ⁃ График работы 5/2

👉🏻 Контакты: @ITrecruiterkz",2020-11-04 12:03:42+00:00,767.0,None,None
17,"⚡️Вакансия:  Frontend - разработчик г. Алматы

📍 Startup. 
Легкий и удобный сервис позволяющий сравнить бизнесы, оставить отзыв. Цель проекта - создать универсальное приложение для потребителя, которое поможет ему в досуге, сэкономит его время и деньги и впоследствии улучшит сервис в целом.

💵 Вилка: 200 000-400 000 тг

📎 Требования:
 ⁃ Опыт реальной работы от 1 года
 ⁃ Опыт работы с React
 ⁃ Опыт работы с Typescript
 ⁃ Умение верстать (scss, css modules, flex-box, grid)
 ⁃ Понимание git
 ⁃ Знания английского на уровне чтения документации
 ⁃ Наличие портфолио со ссылками на выполненные проекты, примеры кода

📎 Обязанности:
 ⁃ Верстка интерфейсов внутренних сервисов и подключение к backend’у
 ⁃ Написание тестов (e2e, unit)
 ⁃ Работа над новыми проектами

📎 Условия:
 ⁃ Официальное трудоустройство, оформление по ТК РК
 ⁃ Режим работы с 10.00-11.00 до 18.00. Возможность гибкого графика: 1-2 дня в неделю можно работать удаленно
 ⁃ График работы 5/2

👉🏻 Контакты: @ITrecruiterkz",2020-11-04 12:03:05+00:00,710.0,None,None
16,"⚡️Вакансия: Аналитик Data Science
Направление: Маркетинг. Рекомендательные системы.

👾 Что необходимо знать и уметь:

 ⁃ Опыт работы с анализом данных (Big Data) от 1 года;
 ⁃ Знание основ Machine Learning; 
 ⁃ SQL;
 ⁃ Excel;
 ⁃ Знание статистики и математики;
 ⁃ Python/ SAS.

🚀 Что предстоит делать:
 ⁃ Сбор и анализ данных; 
 ⁃ Оценка эффективности компаний;
 ⁃ Построение аналитических и предиктивных моделей;
 ⁃ Отчетность.

📍 Kaspi Bank

👉🏻 @ITrecruiterkz высылать CV и узнавать подробности",2020-11-02 10:55:28+00:00,553.0,None,None
